Quantil,Halstead Volume,Cyclomatic Complexity (CC),Lines Of Code (LOC),Microsoft Maintainability Index (MI),Maintainability Index (MI) - calculated
0.95114,752.37,5.0,37.0,84.0,44
0.95115,752.37,5.0,37.0,84.0,44
0.95116,752.37,5.0,37.0,84.0,44
0.95117,752.37,5.0,37.0,84.0,44
0.95118,752.38,5.0,37.0,84.0,44
0.95119,752.44,5.0,37.0,84.0,44
0.9512,752.44,5.0,37.0,84.0,44
0.95121,752.44,5.0,37.0,84.0,44
0.95122,752.4402567999997,5.0,37.0,84.0,44
0.95123,752.46,5.0,37.0,84.0,44
0.95124,752.6056055999993,5.0,37.0,84.0,44
0.95125,752.7861750000013,5.0,37.0,84.0,44
0.95126,752.8,5.0,37.0,84.0,44
0.95127,752.8728939999978,5.0,37.0,84.0,44
0.95128,752.9636864,5.0,37.0,84.0,44
0.95129,752.98,5.0,37.0,84.0,44
0.9513,752.9959300000023,5.0,37.0,84.0,44
0.95131,753.14,5.0,37.0,84.0,44
0.95132,753.14,5.0,37.0,84.0,44
0.95133,753.14,5.0,37.0,84.0,44
0.95134,753.2,5.0,37.0,84.0,44
0.95135,753.2,5.0,37.0,84.0,44
0.95136,753.4,5.0,37.0,84.0,44
0.95137,753.8709585999997,5.0,37.0,84.0,44
0.95138,753.89,5.0,37.0,84.0,44
0.95139,753.89,5.0,37.0,84.0,44
0.9514,753.9500640000007,5.0,37.0,84.0,44
0.95141,754.25,5.0,37.0,84.0,44
0.95142,754.2999032000045,5.0,37.0,84.0,44
0.95143,754.43,5.0,37.0,84.0,44
0.95144,754.43,5.0,37.0,84.0,44
0.95145,754.4554219999909,5.0,37.0,84.0,44
0.95146,754.8731083999999,5.0,37.0,84.0,44
0.95147,754.92,5.0,37.0,84.0,44
0.95148,754.92,5.0,37.0,84.0,44
0.95149,754.96,5.0,37.0,84.0,44
0.9515,755.1417100000006,5.0,37.0,84.0,44
0.95151,755.41,5.0,37.0,84.0,44
0.95152,755.41,5.0,37.0,84.0,44
0.95153,755.4424457999976,5.0,37.0,84.0,44
0.95154,755.55,5.0,37.0,84.0,44
0.95155,755.66,5.0,37.0,84.0,44
0.95156,755.68,5.0,37.0,84.0,44
0.95157,755.68,5.0,37.0,84.0,44
0.95158,755.6897752000001,5.0,37.0,84.0,44
0.95159,755.7075198,5.0,37.0,84.0,44
0.9516,755.8128879999989,5.0,37.0,84.0,44
0.95161,756.0,5.0,37.0,84.0,44
0.95162,756.0,5.0,37.0,84.0,44
0.95163,756.0241458,5.0,37.0,84.0,44
0.95164,756.08,5.0,37.0,84.0,44
0.95165,756.08,5.0,37.0,84.0,44
